id	title	name	birthyear	deathyear	choronym
ITKC_MI_0143A	갈천집(葛川集)	임훈(林薰)	1500년(연산군 6)	1584년(선조 17)	은진(恩津)
ITKC_MI_0144A	퇴계집(退溪集)	이황(李滉)	1501년(연산군 7)	1570년(선조 3)	진보(眞寶)
ITKC_MI_0145A	남명집(南冥集)	조식(曺植)	1501년(연산군 7)	1572년(선조 5)	창녕(昌寧)
ITKC_MI_0146A	간재집(艮齋集)	최연(崔演)	1503년(연산군 9)	1549년(명종 4)	강릉(江陵)
ITKC_MI_0147A	금호유고(錦湖遺稿)	임형수(林亨秀)	1514년(중종 9)	1547년(명종 2)	평택(平澤)
ITKC_MI_0148A	인재집(忍齋集)	홍섬(洪暹)	1504년(연산군 10)	1585년(선조 18)	남양(南陽)
ITKC_MI_0149A	추파집(秋坡集)	송기수(宋麒壽)	1507년(중종 2)	1581년(선조 14)	은진(恩津)
ITKC_MI_0150A	십성당집(十省堂集)	엄흔(嚴昕)	1508년(중종 3)	1543년(중종 38)	영월(寧越)
ITKC_MI_0151A	하서전집(河西全集)	김인후(金麟厚)	1510년(중종 5)	1560년(명종 15)	울산(蔚山)
ITKC_MI_0152A	우암유집(寓庵遺集)	김주(金澍)	1512년(중종 7)	1563년(명종 18)	안동(安東)
ITKC_MI_0153A	부훤당유고(負暄堂遺稿)	오상(吳祥)	1512년(중종 7)	1573년(선조 6)	해주(海州)
ITKC_MI_0154A	구암집(龜巖集)	이정(李楨)	1512년(중종 7)	1571년(선조 4)	사천(泗川)
ITKC_MI_0155A	유헌집(游軒集)	정황(丁熿)	1512년(중종 7)	1560년(명종 15)	창원(昌原)
ITKC_MI_0156A	수암유고(守庵遺稿)	박지화(朴枝華)	1513년(중종 8)	1592년(선조 25)	정선(旌善)
ITKC_MI_0157A	미암집(眉巖集)	유희춘(柳希春)	1513년(중종 8)	1577년(선조 10)	선산(善山)
ITKC_MI_0158A	국간집(菊磵集)	윤현(尹鉉)	1514년(중종 9)	1578년(선조 11)	파평(坡平)
