source	target	relationship
pm000448w	pm000448	HAS_SIL_MGB
pm000449w	pm000449	HAS_SIL_MGB
pm000450w	pm000450	HAS_SIL_MGB
pm000451w	pm000451	HAS_SIL_MGB
pm000452w	pm000452	HAS_SIL_MGB
pm000453w	pm000453	HAS_SIL_MGB
pm000454	pm000459	HAS_SON_MGB
pm000454	pm000460	HAS_SON_MGB
pm000454w	pm000454	HAS_SIL_MGB
pm000455	pm000462	HAS_SON_MGB
pm000456w	pm000456	HAS_SIL_MGB
pm000459	pm000466	HAS_SON_MGB
pm000459w	pm000459	HAS_SIL_MGB
pm000460	pm000468	HAS_SON_MGB
pm000460	pm000469	HAS_SON_MGB
pm000460	pm000470	HAS_SON_MGB
pm000460w	pm000460	HAS_SIL_MGB
pm000468w	pm000468	HAS_SIL_MGB
pm000469w	pm000469	HAS_SIL_MGB
pm000470w	pm000470	HAS_SIL_MGB
pm000473	pm000477	HAS_SON_MGB
pm000473	pm000496	HAS_SON_MGB
pm000474	pm000478	HAS_SON_MGB
pm000474w	pm000474	HAS_SIL_MGB
pm000477	pm000479	HAS_SON_MGB
pm000477w	pm000477	HAS_SIL_MGB
pm000478	pm000480	HAS_SON_MGB
pm000478	pm000481	HAS_SON_MGB
pm000478w	pm000478	HAS_SIL_MGB
pm000479	pm000482	HAS_SON_MGB
pm000479	pm000483	HAS_SON_MGB
pm000479	pm000504	HAS_SON_MGB
pm000479	pm000505	HAS_SON_MGB
pm000479	pm000506	HAS_SON_MGB
pm000479	pm000507	HAS_SON_MGB
pm000479w	pm000479	HAS_SIL_MGB
pm000480	pm000484	HAS_SON_MGB
pm000480	pm000485	HAS_SON_MGB
pm000480w	pm000480	HAS_SIL_MGB
pm000481	pm000486	HAS_SON_MGB
pm000482	pm000487	HAS_SIL_MGB
pm000482	pm000488	HAS_SON_MGB
pm000482	pm000489	HAS_SON_MGB
pm000482	pm000490	HAS_SON_MGB
pm000482w	pm000482	HAS_SIL_MGB
pm000484w	pm000484	HAS_SIL_MGB
pm000487	pm000494	HAS_SON_MGB
pm000487w	pm000487	HAS_SIL_MGB
pm000488	pm000495	HAS_SON_MGB
pm000490w	pm000490	HAS_SIL_MGB
pm000494	pm000497	HAS_SON_MGB
pm000495	pm000498	HAS_SON_MGB
pm000495w	pm000495	HAS_SIL_MGB
pm000496	pm000499	HAS_SON_MGB
pm000496	pm000500	HAS_SON_MGB
pm000497	pm000501	HAS_SON_MGB
pm000497	pm000502	HAS_SON_MGB
pm000498	pm000503	HAS_SON_MGB
pm000498	pm000531	HAS_SON_MGB
pm000499	pm000508	HAS_SON_MGB
pm000500	pm000509	HAS_SON_MGB
pm000500w	pm000500	HAS_SIL_MGB
pm000501	pm000510	HAS_SON_MGB
pm000503	pm000511	HAS_SON_MGB
pm000503	pm000533	HAS_SON_MGB
pm000504	pm000512	HAS_SON_MGB
pm000505	pm000514	HAS_SON_MGB
pm000507	pm000515	HAS_SON_MGB
pm000507w	pm000507	HAS_SIL_MGB
pm000508	pm000516	HAS_SON_MGB
pm000509	pm000517	HAS_SON_MGB
pm000509w	pm000509	HAS_SIL_MGB
pm000510	pm000518	HAS_SON_MGB
pm000510	pm000519	HAS_SON_MGB
pm000511	pm000520	HAS_SON_MGB
pm000516w	pm000516	HAS_SIL_MGB
pm000517	pm000495	HAS_SON_MGB
pm000517w	pm000517	HAS_SIL_MGB
pm000518	pm000522	HAS_SON_MGB
pm000520	pm000523	HAS_SON_MGB
pm000520	pm000548	HAS_SON_MGB
pm000522	pm000524	HAS_SON_MGB
pm000523	pm000525	HAS_SON_MGB
pm000523	pm000549	HAS_SON_MGB
pm000524	pm000526	HAS_SON_MGB
pm000525	pm000527	HAS_SON_MGB
pm000527	pm000528	HAS_SON_MGB
pm000529	pm000530	HAS_SIL_MGB
pm000529w	pm000529	HAS_SIL_MGB
pm000530	pm000532	HAS_SON_MGB
pm000532	pm000534	HAS_SON_MGB
pm000532	pm000535	HAS_SON_MGB
pm000532w	pm000532	HAS_SIL_MGB
pm000533	pm000536	HAS_SON_MGB
pm000533	pm000537	HAS_SON_MGB
pm000533	pm000538	HAS_SON_MGB
pm000534	pm000541	HAS_SON_MGB
pm000535	pm000545	HAS_SON_MGB
pm000535	pm000546	HAS_SON_MGB
pm000535w1	pm000535	HAS_SIL_MGB
pm000535w2	pm000535	HAS_SIL_MGB
pm000536w	pm000536	HAS_SIL_MGB
pm000546w	pm000546	HAS_SIL_MGB
pm000548	pm000550	HAS_SON_MGB
pm000548	pm000551	HAS_SON_MGB
pm000548	pm000552	HAS_SON_MGB
pm000548w	pm000548	HAS_SIL_MGB
pm000550	pm000553	HAS_SON_MGB
pm000550w	pm000550	HAS_SIL_MGB
pm000551w	pm000551	HAS_SIL_MGB
pm000553w	pm000553	HAS_SIL_MGB
pm000554	pm000555	HAS_SIL_MGB
pm000554	pm000556	HAS_SON_MGB
pm000554w	pm000554	HAS_SIL_MGB
pm000555	pm000559	HAS_SON_MGB
pm000555	pm000560	HAS_SON_MGB
pm000555w	pm000555	HAS_SIL_MGB
pm000559	pm000564	HAS_SON_MGB
pm000559	pm000565	HAS_SON_MGB
pm000559	pm000566	HAS_SON_MGB
pm000559w	pm000559	HAS_SIL_MGB
pm000560	pm000567	HAS_SON_MGB
pm000560	pm000568	HAS_SON_MGB
pm000560	pm000585	HAS_SON_MGB
pm000564	pm000570	HAS_SON_MGB
pm000564	pm000571	HAS_SON_MGB
pm000564w	pm000564	HAS_SIL_MGB
pm000565	pm000573	HAS_SON_MGB
pm000565	pm000574	HAS_SON_MGB
pm000566	pm000575	HAS_SON_MGB
pm000566	pm000576	HAS_SON_MGB
pm000566w	pm000566	HAS_SIL_MGB
pm000567	pm000578	HAS_SON_MGB
pm000568	pm000579	HAS_SON_MGB
pm000570w	pm000570	HAS_SIL_MGB
pm000571w	pm000571	HAS_SIL_MGB
pm000580	pm000581	HAS_SON_MGB
