source	target	relationship
pm069789	pm069792	HAS_SON_MGB
pm069792w	pm069792	HAS_SIL_MGB
pm086929	pm086930	HAS_SON_MGB
pm086938	pm086940	HAS_SON_MGB
pm086936	pm086938	HAS_SON_MGB
pm086934	pm086936	HAS_SON_MGB
pm087366	pm087369	HAS_SON_MGB
pm087364	pm087366	HAS_SON_MGB
pm087362	pm087364	HAS_SON_MGB
pm032593	pm032600	HAS_SON_MGB
pm032586	pm032593	HAS_SON_MGB
pm032585	pm032586	HAS_SON_MGB
pm032593w	pm032593	HAS_SIL_MGB
pm032593	pm032630	HAS_SON_MGB
pm032586	pm032593	HAS_SON_MGB
pm032585	pm032586	HAS_SON_MGB
pm032593w	pm032593	HAS_SIL_MGB
pm033027	pm033030	HAS_SON_MGB
pm033026	pm033027	HAS_SON_MGB
pm033016	pm033026	HAS_SON_MGB
pm033953	pm033959	HAS_SON_MGB
pm033948	pm033953	HAS_SON_MGB
pm033947	pm033948	HAS_SON_MGB
pm033948w	pm033948	HAS_SIL_MGB
pm033953w	pm033953	HAS_SIL_MGB
pm038675	pm038678	HAS_SON_MGB
pm038673	pm038675	HAS_SON_MGB
pm038671	pm038673	HAS_SON_MGB
pm038673w	pm038673	HAS_SIL_MGB
pm038675w	pm038675	HAS_SIL_MGB
pm057297	pm057300	HAS_SON_MGB
pm057295	pm057297	HAS_SON_MGB
pm057135	pm057295	HAS_SON_MGB
pm057295w	pm057295	HAS_SIL_MGB
pm057297	pm057337	HAS_SON_MGB
pm057295	pm057297	HAS_SON_MGB
pm057135	pm057295	HAS_SON_MGB
pm057295w	pm057295	HAS_SIL_MGB
pm057297	pm057466	HAS_SON_MGB
pm057295	pm057297	HAS_SON_MGB
pm057135	pm057295	HAS_SON_MGB
pm057295w	pm057295	HAS_SIL_MGB
pm057297	pm057305	HAS_SON_MGB
pm057295	pm057297	HAS_SON_MGB
pm057135	pm057295	HAS_SON_MGB
pm057295w	pm057295	HAS_SIL_MGB
pm057297	pm057467	HAS_SON_MGB
pm057295	pm057297	HAS_SON_MGB
pm057135	pm057295	HAS_SON_MGB
pm057295w	pm057295	HAS_SIL_MGB
pm028079	pm028080	HAS_SON_MGB
pm028078	pm028079	HAS_SON_MGB
pm028079w	pm028079	HAS_SIL_MGB
pm028079	pm028124	HAS_SON_MGB
pm028078	pm028079	HAS_SON_MGB
pm028079w	pm028079	HAS_SIL_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040808	pm040809	HAS_SON_MGB
pm086373	pm086380	HAS_SON_MGB
pm086368	pm086373	HAS_SIL_MGB
pm086362	pm086368	HAS_SON_MGB
pm087188	pm087189	HAS_SON_MGB
pm087184	pm087188	HAS_SON_MGB
pm087181	pm087184	HAS_SON_MGB
pm088020	pm088022	HAS_SON_MGB
pm088018	pm088020	HAS_SON_MGB
pm088020	pm088023	HAS_SON_MGB
pm088018	pm088020	HAS_SON_MGB
pm033932	pm033935	HAS_SON_MGB
pm033921	pm033932	HAS_SON_MGB
pm033920	pm033921	HAS_SON_MGB
pm033921w	pm033921	HAS_SIL_MGB
pm033932w	pm033932	HAS_SIL_MGB
pm030996w	pm030996	HAS_SIL_MGB
pm055806w	pm055806	HAS_SIL_MGB
pm017194	pm017205	HAS_SON_MGB
pm017191	pm017194	HAS_SON_MGB
pm017163	pm017191	HAS_SON_MGB
pm017191w1	pm017191	HAS_SIL_MGB
pm017191w2	pm017191	HAS_SIL_MGB
pm017194w	pm017194	HAS_SIL_MGB
pm017194	pm017228	HAS_SON_MGB
pm017191	pm017194	HAS_SON_MGB
pm017163	pm017191	HAS_SON_MGB
pm017191w1	pm017191	HAS_SIL_MGB
pm017191w2	pm017191	HAS_SIL_MGB
pm017194w	pm017194	HAS_SIL_MGB
pm006573	pm006580	HAS_SON_MGB
pm006546	pm006573	HAS_SON_MGB
pm006544	pm006546	HAS_SON_MGB
pm034006	pm034013	HAS_SON_MGB
pm033997	pm034006	HAS_SON_MGB
pm033992	pm033997	HAS_SON_MGB
pm048725w	pm048725	HAS_SIL_MGB
pm080834w	pm080834	HAS_SIL_MGB
pm080849w	pm080849	HAS_SIL_MGB
pm040812	pm040813	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040814	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040815	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040816	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040862	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040863	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040864	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm040812	pm040865	HAS_SON_MGB
pm040810	pm040812	HAS_SON_MGB
pm040809	pm040810	HAS_SON_MGB
pm061985	pm061990	HAS_SON_MGB
pm061980	pm061985	HAS_SON_MGB
pm061969	pm061980	HAS_SON_MGB
pm061985	pm061991	HAS_SON_MGB
pm061980	pm061985	HAS_SON_MGB
pm061969	pm061980	HAS_SON_MGB
pm076722	pm076717	HAS_SON_MGB
pm076719	pm076722	HAS_SON_MGB
pm076716	pm076719	HAS_SON_MGB
pm076722w	pm076722	HAS_SIL_MGB
pm076722	pm076795	HAS_SON_MGB
pm076719	pm076722	HAS_SON_MGB
pm076716	pm076719	HAS_SON_MGB
pm076722w	pm076722	HAS_SIL_MGB
pm078584	pm078593	HAS_SON_MGB
pm078577	pm078584	HAS_SON_MGB
pm078556	pm078577	HAS_SON_MGB
pm078577w	pm078577	HAS_SIL_MGB
pm078584w	pm078584	HAS_SIL_MGB
pm028096	pm028149	HAS_SON_MGB
pm028092	pm028096	HAS_SON_MGB
pm028087	pm028092	HAS_SON_MGB
pm028096	pm028100	HAS_SON_MGB
pm028092	pm028096	HAS_SON_MGB
pm028087	pm028092	HAS_SON_MGB
pm028096	pm028101	HAS_SON_MGB
pm028092	pm028096	HAS_SON_MGB
pm028087	pm028092	HAS_SON_MGB
pm038676	pm038681	HAS_SON_MGB
pm038673	pm038676	HAS_SON_MGB
pm038671	pm038673	HAS_SON_MGB
pm038673w	pm038673	HAS_SIL_MGB
pm038676	pm038682	HAS_SON_MGB
pm038673	pm038676	HAS_SON_MGB
pm038671	pm038673	HAS_SON_MGB
pm038673w	pm038673	HAS_SIL_MGB
pm016206	pm016209	HAS_SON_MGB
pm016205	pm016206	HAS_SON_MGB
pm015977	pm016205	HAS_SON_MGB
pm016205w	pm016205	HAS_SIL_MGB
pm074675	pm074681	HAS_SON_MGB
pm074674	pm074675	HAS_SON_MGB
pm074637	pm074674	HAS_SON_MGB
pm074696	pm074698	HAS_SON_MGB
pm074695	pm074696	HAS_SON_MGB
pm074694	pm074695	HAS_SON_MGB
pm074695w	pm074695	HAS_SIL_MGB
pm080337	pm080340	HAS_SON_MGB
pm080334	pm080337	HAS_SON_MGB
pm080331	pm080334	HAS_SON_MGB
pm081460w	pm081460	HAS_SIL_MGB
pm028293	pm028299	HAS_SON_MGB
pm028290	pm028293	HAS_SON_MGB
pm028281	pm028290	HAS_SON_MGB
pm073063	pm073064	HAS_SON_MGB
pm072975	pm073063	HAS_SON_MGB
pm072972	pm072975	HAS_SON_MGB
pm072975w	pm072975	HAS_SIL_MGB
pm073063w	pm073063	HAS_SIL_MGB
pm073063	pm073066	HAS_SON_MGB
pm072975	pm073063	HAS_SON_MGB
pm072972	pm072975	HAS_SON_MGB
pm072975w	pm072975	HAS_SIL_MGB
pm073063w	pm073063	HAS_SIL_MGB
pm073063	pm073100	HAS_SON_MGB
pm072975	pm073063	HAS_SON_MGB
pm072972	pm072975	HAS_SON_MGB
pm072975w	pm072975	HAS_SIL_MGB
pm073063w	pm073063	HAS_SIL_MGB
pm085184	pm085186	HAS_SON_MGB
pm085180	pm085184	HAS_SON_MGB
pm085175	pm085180	HAS_SON_MGB
pm085180w	pm085180	HAS_SIL_MGB
pm085184w	pm085184	HAS_SIL_MGB
pm085184	pm085187	HAS_SON_MGB
pm085180	pm085184	HAS_SON_MGB
pm085175	pm085180	HAS_SON_MGB
pm085180w	pm085180	HAS_SIL_MGB
pm085184w	pm085184	HAS_SIL_MGB
pm085184	pm085213	HAS_SON_MGB
pm085180	pm085184	HAS_SON_MGB
pm085175	pm085180	HAS_SON_MGB
pm085180w	pm085180	HAS_SIL_MGB
pm085184w	pm085184	HAS_SIL_MGB
pm085184	pm085214	HAS_SON_MGB
pm085180	pm085184	HAS_SON_MGB
pm085175	pm085180	HAS_SON_MGB
pm085180w	pm085180	HAS_SIL_MGB
pm085184w	pm085184	HAS_SIL_MGB
pm067648w	pm067648	HAS_SIL_MGB
pm081570w	pm081570	HAS_SIL_MGB
pm059246	pm059251	HAS_SON_MGB
pm059241	pm059246	HAS_SON_MGB
pm059233	pm059241	HAS_SON_MGB
pm069806	pm069810	HAS_SON_MGB
pm069805	pm069806	HAS_SON_MGB
pm068398	pm069805	HAS_SON_MGB
pm069806	pm069847	HAS_SON_MGB
pm069805	pm069806	HAS_SON_MGB
pm068398	pm069805	HAS_SON_MGB
pm074723	pm074732	HAS_SON_MGB
pm074720	pm074723	HAS_SON_MGB
pm074714	pm074720	HAS_SON_MGB
pm074723	pm074733	HAS_SON_MGB
pm074720	pm074723	HAS_SON_MGB
pm074714	pm074720	HAS_SON_MGB
pm074723	pm074734	HAS_SON_MGB
pm074720	pm074723	HAS_SON_MGB
pm074714	pm074720	HAS_SON_MGB
pm085777	pm085781	HAS_SON_MGB
pm085773	pm085777	HAS_SON_MGB
pm085765	pm085773	HAS_SON_MGB
pm031494w	pm031494	HAS_SIL_MGB
pm034163	pm034164	HAS_SON_MGB
pm034154	pm034163	HAS_SON_MGB
pm034147	pm034154	HAS_SON_MGB
pm034154w	pm034154	HAS_SIL_MGB
pm058323	pm058326	HAS_SON_MGB
pm058320	pm058323	HAS_SON_MGB
